bh_pri_index;bh_pri_XCOORD;bh_pri_YCOORD;bh_pri_ZCOORDB;bh_pri_ORIGNAME;bh_pri_NAMEPUB;bh_pri_SHORTNAME;bh_pri_BOHREDAT;bh_pri_BOHRTYP;bh_pri_GRUND;bh_pri_RESTRICTIO;bh_pri_TIEFEMD;bh_pri_DEPTHFROM;bh_pri_DEPTHTO;bh_pri_LAYERDESC;bh_pri_ORIGGEOL;bh_pri_LITHOLOGY;bh_pri_LITHOSTRAT;bh_pri_CHRONOSTR;bh_pri_TECTO;bh_pri_USCS1;bh_pri_USCS2;bh_pri_USCS3;bh_pri_geom4326;bh_pri_geom2056;bh_pri_x4326;bh_pri_y4326
3238;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;53.6;53.9;schwach toniger und sandiger Silt, gebändert, grau dicht;kiesige Moräne mit Zwischenlagen aus sandig-siltigen Seeablagerungen;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3219;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;24.1;27.4;schwach siltiger Mittel- bis Grobsand, z.T. mit dünnen Siltlagen gebändert, grau;sandige Seeablagerungen;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3208;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;0;0.3;Erde, kiesig, braun;Deckschicht;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3209;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;0.3;1.2;toniger Silt, erdig, braun;Deckschicht;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3214;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;13;16.7;siltiger Fein- bis Mittelsand, gebändert mit sandigem Silt, grau;sandige Seeablagerungen;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3218;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;23.4;24.1;toniger Silt, gebändert, steif, grau 23.80 -23.85 dunkelgrau, mit wenig Feinkies bis 0.8 cm Durchmesser;tonige Seeablagerungen;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3217;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;23;23.4;sandiger Silt und siltiger Sand, gebändert, grau;sandige Seeablagerungen;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3226;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;41.4;41.8;stark toniger Kies, beige, dicht;Moräne;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3240;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;54.3;55.75;"schwach siltiger Mittelsand, glimmerhaltig, z.T. dünne Lagen aus sandigem bis schwach tonigem Silt, grau, dicht 
bei 55.50 dünne, braune/kohlige Lagen";Molassefels (OSM);Sks;;Ter;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3215;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;16.7;22;sauberer bis schwach siltiger Mittel- bis Grobsand, z.T. mit Siltlagen gebändert, grau;sandige Seeablagerungen;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
